prompt_id,final_score,layer
pZGD5CG4Xz58yWWDeBItr,0.01,0-10%
_9dcZHxcQRUEK8ZOCfLm9,0.01,0-10%
UDDGs86aXQDEr9EtARfn7,0.01,0-10%
AA69CR5jn6JAm27dJDzhy,0.01,0-10%
HJy_Bys2cdDLUZvkdt62e,0.01,0-10%
2AUnKToaPYqfPQANgdT0h,0.01,0-10%
Dn3uRlwrDZD_P616cPVXJ,0.01,0-10%
d5F7QLXaFhO8taM1XIlU7,0.01,0-10%
Y-DCq2A4-1JcIlYPvAr23,0.01,0-10%
adKETg9ufWhuG8tkOKiAf,0.01,0-10%
CJTdyZCvi_EnNYHFyddOo,0.01,0-10%
pRpjivvYU8M2hfjbYp3ji,0.01,0-10%
-5Pi98ff9s-1OYWt0Qnlj,0.01,0-10%
tUfuldO0947RForZB5t8I,0.01,0-10%
-oUplPoVxAM7dVIlYy87L,0.01,0-10%
Y12YvLYa3JwQMne6ZZZJK,0.01,0-10%
kzVYeX0KsdweIVCisG8NJ,0.01,0-10%
r7fKB9xuhNylIC35i0YIl,0.01,0-10%
7lEJeqCcbJz4LfZBMvFlv,0.01,0-10%
UfYfhXs_N_w61l4CNux-Q,0.01,0-10%
n61rur9I2s2cV0VuhzbCP,0.01,0-10%
qt3k0lpJtjIpoJHu1armh,0.01,0-10%
Uj3rDrN9AXhmDZaL8Tgyj,0.01,0-10%
QOij6gyneknFCChzaE2Ia,0.01,0-10%
GQQbqmBp2BMr-4NF8HwZa,0.01,0-10%
s0R4aW9nSIisz6dANkazK,0.01,0-10%
TBhmlbAxrXqIAIWeI3204,0.01,0-10%
KrUcV_sL81QpJq2g9cM-N,0.01,0-10%
zSOSdjiTcYBH9O3-l9f6i,0.01,0-10%
nCVhH3PwoZUtqWNZ9H8sm,0.01,0-10%
a5f4muyGPoOpPqJXDhC4C,0.01,10-30%
FDF6PvnXONf3laVwk0qRI,0.01,10-30%
jJngfFMhVi7GBXgv8K_EC,0.01,10-30%
x8qAS3Z-MxTg36Ig9BM90,0.01,10-30%
bss9I8J-1f-Cf_-mOuZqs,0.01,10-30%
v1TDpfU7qgMh6l6Qpv9fP,0.01,10-30%
wAwj_34g8TyB9BEd5xdMu,0.01,10-30%
cOo2TD2FcdOYvcdu3RpUr,0.01,10-30%
ySGroc3tWrnDYvOmF5hyP,0.01,10-30%
hRWpvBmlCGafaaRu8NToN,0.01,10-30%
PJzpWqtDjLD2G1Ysyv9tB,0.01,10-30%
Mi39LaNvgd_xmbxGYBM2i,0.01,10-30%
XB5IeW8-6e2pm8gbeTg47,0.01,10-30%
5tM2qyNHgQCZBSCLPQbRL,0.01,10-30%
6mOBMPGr2z4vsC3hD__eV,0.01,10-30%
PAQSow1QDzbL3bydor2wr,0.01,10-30%
e6LPDjuDeEI6iO6FznYgi,0.01,10-30%
jaTZHBO9kNJPnuwu-lOtC,0.01,10-30%
9Vsc2sAbJdQ9ZM6soCVh2,0.01,10-30%
aV3s1z4gpPsm1GDlF5sV-,0.01,10-30%
mACHQ2EAzLC24NpUuK0l6,0.01,10-30%
2d7WsnYC-h_P61X8qJC9y,0.01,10-30%
nhlHUGx07ZS1D3xY_jmLC,0.01,10-30%
dsUGHDLy7q2hjZ4W23Cx2,0.01,10-30%
iGLiOEcPGNhaFaZjIt3NE,0.01,10-30%
AQ6lM2ONrrYrhgixFs86Q,0.01,10-30%
uecbFPleAzu-crc5Y-wop,0.01,10-30%
SfGQ_Is5LrM9d_-RBD5Nj,0.01,10-30%
6wIRmwFbAlKlrzLNkX4r8,0.01,10-30%
CWQ69LkHx9mhONABZzBof,0.01,10-30%
a31lk-5P_16qLlOC5nA0J,0.01,30-70%
DrMAAPW2LyE7nFVNPcK5x,0.01,30-70%
PCSxhePoT441nx1Dl92Q0,0.01,30-70%
mIWEHwMVobdoWfS44TFjU,0.01,30-70%
XEBg76Nd0aPeobDg9_ElB,0.01,30-70%
5OSZ1PhqRCAY6cl1zjm2o,0.01,30-70%
3cFvqrPTSlMcqedRy2dco,0.01,30-70%
w_aPEfxHnmCnSOsxkJugj,0.01,30-70%
dxwOX8-VHYQZJBLV4E8Qf,0.01,30-70%
fsfaMPM0dPjy-_Dnhaavr,0.01,30-70%
vMDWt93R-FpxPIPtYrB1A,0.01,30-70%
CzGI0ZPCkc-WppKyNa9b0,0.01,30-70%
XZwneDORluOFhMOfpejIT,0.01,30-70%
HprRNYlnhWzRjkOVkqCBC,0.01,30-70%
zdGFBegvX76SySiz_gB5e,0.01,30-70%
iuhKBY4Ks1mXNmQboyj8M,0.01,30-70%
xwBAFbIvySuJNTZmwt3Zk,0.01,30-70%
DatCSpXcuuGWxFJb4S13n,0.01,30-70%
-9RzLAQjUKjSJ_f8Ajd7p,0.01,30-70%
d_ZGanDkMAiTXmxiK-ycu,0.01,30-70%
luciJAYaW5uY7NTc6T5gi,0.01,30-70%
B8fz3HDE14NPqnrun0G5K,0.01,30-70%
u2elZOpx3CzjhRhJnHCWp,0.01,30-70%
0OBTtMXtjCLLud5sO2vhX,0.01,30-70%
3wVjaqk3of1O4Uq0XP0mh,0.01,30-70%
Y9KUTZe1aZjVSMrxvj18O,0.01,30-70%
-YJjCGTlOpS62UZHCF8op,0.01,30-70%
bcayJoVNO6kPwoj0Zv9FL,0.01,30-70%
6sPKZvpN7532lc31aGNgK,0.01,30-70%
hsZfOVRHIlYb3OCmTrReg,0.01,30-70%
1z03a9zeZTlmi6UDbrePe,0.01,70-90%
NArd-JlY_CKJI_0mMAjKh,0.01,70-90%
gxTm9vGJgq1eYDeLRkBDL,0.01,70-90%
SJI583Uqa98p_PDO23i1f,0.01,70-90%
0lBXwXWZjF7co8cazQFeb,0.01,70-90%
GSduHmnKVx46T8XaTAznA,0.01,70-90%
X4vyNc5potAkE7njyrpNc,0.01,70-90%
JTyslh5THGlHeMM2yB2fh,0.01,70-90%
dVs8wSHP8L1fMvgW_03H2,0.01,70-90%
yBi4AqDBiaxyc5iyoJGr5,0.01,70-90%
mnEwaTZeNAS1voefk6Dh6,0.01,70-90%
Qh-2lPzDhR3E00PdjI8QA,0.01,70-90%
TLrNEIqF3Paq_OpE34BYE,0.01,70-90%
II6g4gZrSfk2NSmwEEGUp,0.01,70-90%
dNS-uFc8AC3oW0RBPWh2s,0.01,70-90%
FhDSsixKFG3iVZoE17US2,0.01,70-90%
3LgCOS6X6Ufi3Ok6vSMrO,0.01,70-90%
NOHmMY2iRhlpaK3WbVKj5,0.01,70-90%
Z951cCC0jUCVGw4pq2MMc,0.01,70-90%
aomFRGMzjBjsLvu37fkvn,0.01,70-90%
LUnGeTpGIytMcoW4gzVhV,0.01,70-90%
x9As0tWzaF--lUoJMqAxC,0.01,70-90%
BEXHSNkMQV7i1neaJ94Q1,0.01,70-90%
_IMUCxD5712BgMgvncz8S,0.01,70-90%
2BYnS5de6S9P832cacWw_,0.01,70-90%
zJQr2jE7ps27L3BxhdiVH,0.01,70-90%
WH662AP3WGNyLhyUJVkvl,0.01,70-90%
10Ikk7nEVPmwNJNv6aez4,0.01,70-90%
C_1nEn6UUaa_ZjvMgEX9a,0.01,70-90%
FRLROG_ygQAjW9Fv3QlRD,0.01,70-90%
9g54CwoFBWwOk5oKj6Jxe,0.01,90-100%
dH1XrPh4rbx-Kcp-REaPQ,0.01,90-100%
pDfmYVqhnoBJErrowZsVK,0.01,90-100%
vaR-p_WqcsQC9fUoNTaAV,0.01,90-100%
ZWw1rs34TUzRADEqowL8O,0.01,90-100%
XyHW_IEyOwpb_ApfhIJz1,0.01,90-100%
uXUtRNbvCb0QEb2IWD5_u,0.01,90-100%
JAW8BdaBOQv1fdc1nZe8w,0.01,90-100%
0mfW9JOVtFyD34lMldmh7,0.01,90-100%
JlQG-gM1NkDAlEujXJG2q,0.01,90-100%
I1Jj5Feh3xKnMT0Kiieh4,0.01,90-100%
91Ny5QRDc_aGoEH8IrtZ6,0.01,90-100%
76jJDMO6LE87S-E-qucrs,0.01,90-100%
P8B4Wa_GkK8ckjlyWwqvt,0.01,90-100%
c7ffa32a-3c99-48ef-b8a4-60c0beb482f2,0.01,90-100%
mmWBnnfNHzYx_6sgSv_3f,0.01,90-100%
URr0STCCJjNYKLr29dy-P,0.01,90-100%
HKQ-ttQaiaAc-RlW80fD4,0.01,90-100%
tH2P27e-nqreEJxgkot2B,0.01,90-100%
OZH3_5v9joaMKFwtucpgJ,0.01,90-100%
a44dd5f1-ad51-466d-912b-1f7a962fd6cf,0.01,90-100%
sAv60ttWlR40jCWg4Q8aw,0.01,90-100%
Ygio8a0jbhFqd4Sd0-n7P,0.01,90-100%
MnPU9xnji9IPDzM97q7C8,0.01,90-100%
jRcijLf5vRf5ZyfiGoxEN,0.01,90-100%
9yOmoWFX6zsFH_n3u50sS,0.01,90-100%
xxdlQfD3bNDx1km33CpUI,0.01,90-100%
kmadNyaswlO2z2qPI0cS1,0.01,90-100%
nrl_mAnBaX65xrphJlgiN,0.01,90-100%
_ydbfQSDvHdXVXBw90xKy,0.01,90-100%
